Zipcode ID,Census Year,WA Zipcode,Median Household Income,Income Per Capita,Population
639,2021,98674,81396,32597,15426
640,2021,98072,140906,70948,24931
641,2021,98524,99975,41716,4326
642,2021,98119,106245,84553,26094
643,2021,98065,162833,62055,15779
644,2021,98024,145750,57379,5503
645,2021,98374,94618,39559,42974
646,2021,98250,74364,57080,8568
647,2021,98117,146887,74563,36365
648,2021,98281,61447,57734,1210
649,2021,98327,98409,48502,9974
650,2021,98109,111059,90930,29376
651,2021,98077,164148,79238,13862
652,2021,98611,71580,31559,9478
653,2021,98230,73097,39320,18413
654,2021,98682,82858,34484,66229
655,2021,99336,53803,27348,51839
656,2021,98027,128556,71411,27808
657,2021,99208,69587,35706,57606
658,2021,98108,74985,39950,23759
659,2021,99202,50700,25504,20526
660,2021,98356,47847,22227,2350
661,2021,98368,57383,40095,16702
662,2021,98941,63947,34447,703
663,2021,98028,121463,62579,23556
664,2021,98042,113579,47268,48639
665,2021,98003,63289,31171,50501
666,2021,98383,92585,47111,22541
667,2021,98133,77602,47266,50153
668,2021,98199,148878,81915,22890
669,2021,98039,208500,136795,2928
670,2021,98055,83621,37943,24668
671,2021,98022,101591,50006,22007
672,2021,98273,65427,31654,30924
673,2021,98843,58381,38746,2066
674,2021,98930,58640,20274,14952
675,2021,98953,72449,28031,6684
676,2021,98372,85585,40674,27127
677,2021,98070,94123,56316,10886
678,2021,98465,65143,48163,7092
679,2021,98672,76513,43758,7062
680,2021,98662,77263,35151,36573
681,2021,98104,60955,54401,14469
682,2021,98466,81196,43085,29989
683,2021,98126,97368,58158,22030
684,2021,98802,73949,38162,31480
685,2021,98847,63764,28067,2780
686,2021,98546,79000,42149,2920
687,2021,98388,95316,41560,6975
688,2021,99224,67076,41023,23705
689,2021,98390,79561,38038,11413
690,2021,99337,81066,34262,32393
691,2021,99016,81348,40642,17913
692,2021,98584,64973,30819,37360
693,2021,98404,62741,26721,35357
694,2021,98532,72906,32520,26100
695,2021,99223,81947,47909,34013
696,2021,98444,55690,25911,35083
697,2021,98571,-666666666,,77
698,2021,98247,64186,28625,8068
699,2021,98443,105536,45721,5688
700,2021,98010,132540,61008,5963
701,2021,98407,94912,55452,20993
702,2021,98639,76250,33510,1177
703,2021,98665,71811,35915,27175
